Season,Round,Date,Home,Away,Home_Country,Away_Country,Home_Goals,Away_Goals,Result
2002-2003,Third round,2002-11-28,Celtic,Celta Vigo,sct,es,1,0,1.0
2002-2003,Third round,2002-11-28,Vitesse,Liverpool,nl,eng,0,1,0.0
2002-2003,Third round,2002-11-28,Club Brugge,Stuttgart,be,de,1,2,0.0
2002-2003,Third round,2002-11-28,Porto,Lens,pt,fr,3,0,1.0
2002-2003,Third round,2002-11-28,Betis,Auxerre,es,fr,1,0,1.0
2002-2003,Third round,2002-11-28,Málaga,Leeds United,es,eng,0,0,0.5
2002-2003,Third round,2002-11-28,Denizlispor,Lyon,tr,fr,0,0,0.5
2002-2003,Third round,2002-11-28,Beşiktaş,Dynamo Kyiv,tr,ua,3,1,1.0
2002-2003,Third round,2002-11-28,Slovan Liberec,Panathinaikos,cz,gr,2,2,0.5
2002-2003,Third round,2002-12-10,Schalke 04,Wisła Kraków,de,pl,1,4,0.0
2002-2003,Third round,2002-12-12,Slavia Prague,PAOK,cz,gr,4,0,1.0
2002-2003,Third round,2002-12-12,Lazio,Sturm Graz,it,at,0,1,0.0
2002-2003,Third round,2002-12-12,Anderlecht,Bordeaux,be,fr,2,2,0.5
2002-2003,Third round,2002-12-12,Stuttgart,Club Brugge,de,be,1,0,1.0
2002-2003,Third round,2002-12-12,Lens,Porto,fr,pt,1,0,1.0
2002-2003,Third round,2002-12-12,Dynamo Kyiv,Beşiktaş,ua,tr,0,0,0.5
2002-2003,Third round,2002-12-12,Fulham,Hertha BSC,eng,de,0,0,0.5
2002-2003,Third round,2002-12-12,Lyon,Denizlispor,fr,tr,0,1,0.0
2002-2003,Third round,2002-12-12,Liverpool,Vitesse,eng,nl,1,0,1.0
2002-2003,Third round,2002-12-12,Maccabi Haifa,AEK Athens,il,gr,1,4,0.0
2002-2003,Third round,2002-12-12,Leeds United,Málaga,eng,es,1,2,0.0
2002-2003,Third round,2002-12-12,Auxerre,Betis,fr,es,2,0,1.0
2002-2003,Third round,2002-12-12,Celta Vigo,Celtic,es,sct,2,1,1.0
2002-2003,Third round,2002-12-12,Boavista,Paris S-G,pt,fr,1,0,1.0
2002-2003,Third round,2002-12-12,Panathinaikos,Slovan Liberec,gr,cz,1,0,1.0
2002-2003,Fourth round,2003-02-20,Auxerre,Liverpool,fr,eng,0,1,0.0
2002-2003,Fourth round,2003-02-20,Panathinaikos,Anderlecht,gr,be,3,0,1.0
2002-2003,Fourth round,2003-02-20,Celtic,Stuttgart,sct,de,3,1,1.0
2002-2003,Fourth round,2003-02-20,Málaga,AEK Athens,es,gr,0,0,0.5
2002-2003,Fourth round,2003-02-20,Porto,Denizlispor,pt,tr,6,1,1.0
2002-2003,Fourth round,2003-02-20,Lazio,Wisła Kraków,it,pl,3,3,0.5
2002-2003,Fourth round,2003-02-20,Slavia Prague,Beşiktaş,cz,tr,1,0,1.0
2002-2003,Fourth round,2003-02-20,Hertha BSC,Boavista,de,pt,3,2,1.0
2002-2003,Fourth round,2003-02-27,Liverpool,Auxerre,eng,fr,2,0,1.0
2002-2003,Fourth round,2003-02-27,Stuttgart,Celtic,de,sct,3,2,1.0
2002-2003,Fourth round,2003-02-27,Boavista,Hertha BSC,pt,de,1,0,1.0
2002-2003,Fourth round,2003-02-27,Anderlecht,Panathinaikos,be,gr,2,0,1.0
2002-2003,Fourth round,2003-02-27,Denizlispor,Porto,tr,pt,2,2,0.5
2002-2003,Fourth round,2003-02-27,AEK Athens,Málaga,gr,es,0,1,0.0
2002-2003,Fourth round,2003-02-27,Beşiktaş,Slavia Prague,tr,cz,4,2,1.0
2002-2003,Fourth round,2003-03-05,Wisła Kraków,Lazio,pl,it,1,2,0.0
2002-2003,Quarter-finals,2003-03-13,Porto,Panathinaikos,pt,gr,0,1,0.0
2002-2003,Quarter-finals,2003-03-13,Celtic,Liverpool,sct,eng,1,1,0.5
2002-2003,Quarter-finals,2003-03-13,Lazio,Beşiktaş,it,tr,1,0,1.0
2002-2003,Quarter-finals,2003-03-13,Málaga,Boavista,es,pt,1,0,1.0
2002-2003,Quarter-finals,2003-03-20,Boavista,Málaga,pt,es,1,0,1.0
2002-2003,Quarter-finals,2003-03-20,Liverpool,Celtic,eng,sct,0,2,0.0
2002-2003,Quarter-finals,2003-03-20,Beşiktaş,Lazio,tr,it,1,2,0.0
2002-2003,Quarter-finals,2003-03-20,Panathinaikos,Porto,gr,pt,0,2,0.0
2002-2003,Semi-finals,2003-04-10,Celtic,Boavista,sct,pt,1,1,0.5
2002-2003,Semi-finals,2003-04-10,Porto,Lazio,pt,it,4,1,1.0
2002-2003,Semi-finals,2003-04-24,Lazio,Porto,it,pt,0,0,0.5
2002-2003,Semi-finals,2003-04-24,Boavista,Celtic,pt,sct,0,1,0.0
2002-2003,Final,2003-05-21,Celtic,Porto,sct,pt,2,3,0.0
